iter	Passed	Remaining
0	146	146236
1	148	74215
2	151	50215
3	153	38240
4	156	31087
5	158	26251
6	160	22785
7	162	20199
8	165	18237
9	168	16660
10	171	15420
11	174	14348
12	177	13456
13	180	12678
14	183	12077
15	186	11472
16	189	10938
17	192	10481
18	194	10042
19	196	9642
20	199	9292
21	202	8997
22	204	8693
23	207	8426
24	209	8173
25	212	7970
26	215	7749
27	217	7563
28	220	7379
29	222	7208
30	225	7036
31	227	6878
32	229	6723
33	248	7067
34	250	6916
35	253	6786
36	255	6658
37	258	6543
38	261	6444
39	263	6330
40	265	6221
41	268	6117
42	270	6025
43	273	5931
44	275	5846
45	279	5786
46	281	5706
47	283	5620
48	285	5548
49	288	5480
50	291	5420
51	293	5355
52	295	5284
53	298	5223
54	300	5157
55	302	5095
56	304	5036
57	306	4980
58	308	4925
59	311	4874
60	313	4823
61	315	4774
62	317	4727
63	320	4684
64	322	4640
65	324	4597
66	327	4557
67	329	4515
68	331	4476
69	333	4437
70	336	4401
71	338	4367
72	340	4329
73	343	4294
74	345	4259
75	347	4225
76	349	4192
77	352	4161
78	354	4129
79	356	4098
80	358	4068
81	360	4038
82	362	4009
83	365	3981
84	367	3954
85	369	3927
86	371	3901
87	374	3878
88	376	3852
89	378	3828
90	380	3805
91	383	3780
92	385	3758
93	387	3735
94	389	3712
95	391	3690
96	394	3668
97	396	3649
98	398	3629
99	400	3608
100	403	3589
101	405	3570
102	407	3551
103	409	3531
104	412	3513
105	414	3494
106	416	3477
107	418	3459
108	421	3441
109	423	3424
110	425	3409
111	427	3392
112	430	3375
113	432	3359
114	434	3343
115	436	3327
116	438	3312
117	441	3297
118	443	3282
119	445	3268
120	447	3253
121	450	3239
122	452	3228
123	455	3216
124	457	3202
125	459	3189
126	462	3176
127	464	3163
128	466	3150
129	468	3137
130	471	3129
131	473	3116
132	476	3104
133	478	3092
134	480	3080
135	483	3068
136	485	3059
137	487	3047
138	490	3036
139	492	3027
140	495	3016
141	497	3005
142	499	2995
143	502	2984
144	504	2973
145	506	2963
146	508	2952
147	511	2942
148	513	2931
149	515	2921
150	518	2912
151	520	2903
152	522	2894
153	525	2884
154	527	2875
155	529	2867
156	532	2858
157	534	2850
158	537	2841
159	539	2833
160	542	2824
161	544	2816
162	546	2807
163	549	2800
164	551	2792
165	554	2784
166	556	2775
167	559	2768
168	561	2761
169	563	2753
170	566	2748
171	569	2740
172	571	2731
173	573	2723
174	575	2715
175	578	2708
176	580	2701
177	583	2693
178	585	2685
179	587	2678
180	593	2684
181	596	2679
182	599	2677
183	602	2672
184	605	2667
185	608	2663
186	612	2663
187	615	2658
188	618	2651
189	620	2645
190	623	2640
191	627	2639
192	629	2632
193	631	2625
194	634	2617
195	636	2611
196	638	2604
197	641	2597
198	643	2590
199	645	2583
200	648	2576
201	650	2568
202	652	2561
203	654	2555
204	657	2548
205	659	2542
206	661	2535
207	664	2528
208	666	2522
209	668	2515
210	671	2509
211	673	2502
212	675	2496
213	677	2489
214	680	2486
215	683	2479
216	685	2473
217	688	2468
218	690	2462
219	692	2456
220	695	2450
221	697	2443
222	699	2437
223	701	2431
224	704	2424
225	706	2418
226	708	2412
227	710	2407
228	713	2401
229	715	2394
230	717	2388
231	719	2382
232	721	2375
233	723	2369
234	726	2364
235	728	2358
236	730	2353
237	733	2347
238	735	2341
239	737	2335
240	739	2329
241	742	2324
242	744	2319
243	746	2313
244	749	2308
245	751	2303
246	753	2297
247	755	2292
248	758	2287
249	760	2281
250	762	2276
251	765	2270
252	767	2265
253	769	2260
254	771	2254
255	774	2249
256	776	2244
257	778	2238
258	780	2233
259	782	2228
260	785	2222
261	787	2217
262	789	2212
263	791	2207
264	793	2201
265	796	2196
266	798	2191
267	800	2186
268	802	2181
269	804	2176
270	807	2171
271	809	2166
272	811	2162
273	814	2156
274	816	2151
275	818	2147
276	820	2142
277	822	2137
278	825	2132
279	827	2127
280	829	2122
281	832	2118
282	834	2113
283	836	2109
284	838	2104
285	841	2099
286	843	2094
287	845	2089
288	847	2085
289	849	2080
290	852	2075
291	854	2071
292	856	2066
293	858	2061
294	860	2057
295	863	2052
296	865	2048
297	867	2043
298	869	2039
299	872	2034
300	874	2030
301	876	2026
302	878	2021
303	881	2017
304	883	2012
305	885	2008
306	887	2004
307	890	1999
308	892	1995
309	894	1990
310	896	1986
311	898	1981
312	900	1977
313	903	1973
314	905	1968
315	907	1964
316	909	1960
317	912	1956
318	914	1951
319	916	1947
320	918	1942
321	920	1938
322	923	1934
323	925	1930
324	927	1926
325	929	1921
326	931	1917
327	933	1913
328	936	1909
329	938	1905
330	940	1901
331	942	1897
332	945	1893
333	947	1889
334	949	1885
335	951	1880
336	954	1877
337	956	1873
338	958	1869
339	960	1865
340	963	1861
341	965	1856
342	967	1853
343	969	1849
344	971	1845
345	973	1840
346	976	1836
347	978	1832
348	980	1828
349	982	1825
350	985	1821
351	987	1817
352	989	1813
353	991	1809
354	993	1805
355	996	1801
356	998	1798
357	1000	1794
358	1002	1790
359	1005	1787
360	1007	1783
361	1009	1779
362	1012	1776
363	1014	1772
364	1016	1768
365	1018	1765
366	1021	1761
367	1023	1757
368	1025	1753
369	1027	1750
370	1029	1746
371	1032	1742
372	1034	1738
373	1036	1734
374	1038	1731
375	1040	1727
376	1043	1723
377	1045	1720
378	1047	1716
379	1049	1712
380	1052	1709
381	1054	1705
382	1056	1701
383	1059	1698
384	1061	1696
385	1064	1692
386	1067	1690
387	1070	1688
388	1073	1685
389	1075	1682
390	1078	1679
391	1080	1676
392	1083	1672
393	1085	1669
394	1087	1666
395	1090	1662
396	1092	1659
397	1094	1656
398	1097	1652
399	1099	1649
400	1102	1646
401	1104	1643
402	1107	1640
403	1109	1637
404	1112	1634
405	1114	1630
406	1117	1627
407	1119	1624
408	1121	1621
409	1124	1617
410	1126	1614
411	1128	1611
412	1131	1607
413	1135	1607
